1j20qq1JyX4,0902,0.0,0.021,0.998,0.998,12,0.503
1j20qq1JyX4,0906,0.0,0.001,0.998,0.998,12,0.58
1j20qq1JyX4,0911,0.0,0.0,0.998,0.998,12,0.711
1j20qq1JyX4,0911,0.03,0.254,0.758,0.998,12,0.606
1j20qq1JyX4,0911,0.315,0.0,0.998,0.855,12,0.583
1j20qq1JyX4,0911,0.304,0.289,0.998,0.998,12,0.582
1j20qq1JyX4,0911,0.0,0.13,0.235,0.998,12,0.571
1j20qq1JyX4,0911,0.0,0.003,0.375,0.856,12,0.548
1j20qq1JyX4,0911,0.105,0.07,0.524,0.963,12,0.503
1j20qq1JyX4,0911,0.377,0.22,0.795,0.998,12,0.502
1j20qq1JyX4,0912,0.001,0.039,0.535,0.998,12,0.505
1j20qq1JyX4,0912,0.001,0.0,0.991,0.812,12,0.502
1j20qq1JyX4,0934,0.001,0.0,0.998,0.998,12,0.743
1j20qq1JyX4,0934,0.0,0.23,0.433,0.998,12,0.601
1j20qq1JyX4,0934,0.0,0.008,0.31,0.891,12,0.576
1j20qq1JyX4,0934,0.001,0.244,0.725,0.998,12,0.564
1j20qq1JyX4,0934,0.184,0.058,0.596,0.956,12,0.536
1j20qq1JyX4,0935,0.0,0.002,0.236,0.803,12,0.529
1j20qq1JyX4,0941,0.001,0.0,0.998,0.997,12,0.544
1j20qq1JyX4,0942,0.001,0.0,0.998,0.998,12,0.571
1j20qq1JyX4,0943,0.001,0.053,0.602,0.962,12,0.578
1j20qq1JyX4,0943,0.003,0.0,0.998,0.792,12,0.577
1j20qq1JyX4,0947,0.003,0.0,0.998,0.878,12,0.553
1j20qq1JyX4,0948,0.019,0.0,0.998,0.898,12,0.555
1j20qq1JyX4,0948,0.475,0.267,0.998,0.905,12,0.502
1j20qq1JyX4,0949,0.002,0.0,0.998,0.998,12,0.682
1j20qq1JyX4,0949,0.393,0.027,0.998,0.998,12,0.593
1j20qq1JyX4,0949,0.524,0.0,0.998,0.767,12,0.523
1j20qq1JyX4,0950,0.336,0.195,0.998,0.998,12,0.566
1j20qq1JyX4,0950,0.582,0.125,0.998,0.983,12,0.554
1j20qq1JyX4,0952,0.002,0.245,0.998,0.998,12,0.628
1j20qq1JyX4,0952,0.002,0.0,0.998,0.812,12,0.625
1j20qq1JyX4,0952,0.607,0.168,0.998,0.998,12,0.558
1j20qq1JyX4,0952,0.001,0.023,0.635,0.894,12,0.55
1j20qq1JyX4,0952,0.375,0.28,0.998,0.998,12,0.541
1j20qq1JyX4,0955,0.002,0.0,0.998,0.806,12,0.523
1j20qq1JyX4,0956,0.306,0.026,0.998,0.964,12,0.547
1j20qq1JyX4,0956,0.449,0.156,0.867,0.988,12,0.545
1j20qq1JyX4,0956,0.595,0.104,0.998,0.958,12,0.527
1j20qq1JyX4,0956,0.002,0.304,0.998,0.998,12,0.505
1j20qq1JyX4,0957,0.003,0.0,0.998,0.998,12,0.569
1j20qq1JyX4,0957,0.608,0.105,0.998,0.996,12,0.503
1j20qq1JyX4,0958,0.237,0.0,0.998,0.998,12,0.643
1j20qq1JyX4,0958,0.003,0.279,0.998,0.998,12,0.553
1j20qq1JyX4,0958,0.603,0.0,0.998,0.896,12,0.544
1j20qq1JyX4,0959,0.003,0.0,0.998,0.998,12,0.55
1j20qq1JyX4,0959,0.413,0.04,0.998,0.982,12,0.515
1j20qq1JyX4,0961,0.003,0.0,0.998,0.878,12,0.641
1j20qq1JyX4,0961,0.555,0.0,0.998,0.68,12,0.503
1j20qq1JyX4,0961,0.663,0.002,0.998,0.823,74,0.521
1j20qq1JyX4,0965,0.001,0.002,0.567,0.998,12,0.525
1j20qq1JyX4,0965,0.002,0.0,0.998,0.998,12,0.516
1j20qq1JyX4,0968,0.002,0.119,0.998,0.998,12,0.525
1j20qq1JyX4,0968,0.001,0.0,0.465,0.852,12,0.517
1j20qq1JyX4,0968,0.001,0.279,0.646,0.998,12,0.508
1j20qq1JyX4,0974,0.0,0.0,0.967,0.998,12,0.551
1j20qq1JyX4,0975,0.0,0.0,0.998,0.818,12,0.721
1j20qq1JyX4,0975,0.0,0.028,0.68,0.995,12,0.671
1j20qq1JyX4,0975,0.03,0.113,0.438,0.963,12,0.624
1j20qq1JyX4,0975,0.321,0.092,0.998,0.998,12,0.603
1j20qq1JyX4,0975,0.0,0.0,0.396,0.777,12,0.567
1j20qq1JyX4,0975,0.0,0.0,0.563,0.572,12,0.526
1j20qq1JyX4,0975,0.0,0.143,0.306,0.998,12,0.52
1j20qq1JyX4,0975,0.182,0.07,0.614,0.977,12,0.519
1j20qq1JyX4,0976,0.0,0.118,0.716,0.998,12,0.73
1j20qq1JyX4,0976,0.114,0.0,0.882,0.939,12,0.689
1j20qq1JyX4,0976,0.0,0.0,0.648,0.701,12,0.662
1j20qq1JyX4,0976,0.0,0.0,0.389,0.881,12,0.649
1j20qq1JyX4,0976,0.37,0.055,0.998,0.998,12,0.646
1j20qq1JyX4,0976,0.07,0.101,0.474,0.996,12,0.6
1j20qq1JyX4,0976,0.31,0.075,0.733,0.924,12,0.596
1j20qq1JyX4,0976,0.232,0.0,0.998,0.707,12,0.586
1j20qq1JyX4,0976,0.0,0.267,0.228,0.998,12,0.563
1j20qq1JyX4,0976,0.234,0.368,0.998,0.998,12,0.547
1j20qq1JyX4,0976,0.149,0.0,0.564,0.814,12,0.531
1j20qq1JyX4,0976,0.501,0.148,0.916,0.998,12,0.531
1j20qq1JyX4,0976,0.249,0.281,0.668,0.998,12,0.516
1j20qq1JyX4,0976,0.642,0.102,0.998,0.925,12,0.506
1j20qq1JyX4,0977,0.001,0.001,0.998,0.804,12,0.682
1j20qq1JyX4,0977,0.0,0.032,0.386,0.902,12,0.67
1j20qq1JyX4,0977,0.258,0.148,0.998,0.998,12,0.641
1j20qq1JyX4,0977,0.574,0.095,0.98,0.973,12,0.603
1j20qq1JyX4,0977,0.0,0.001,0.224,0.852,12,0.593
1j20qq1JyX4,0977,0.0,0.001,0.643,0.716,12,0.575
